Desc_UI    Descriptor Counts
D012646    Self Administration: 1
D012637    Security Measures: 1
D012634    Bodily Secretions: 1
D012581    Schools, Public Health: 1
D012555    Schistosomiasis mansoni: 1
D012553    Schistosomiasis haematobia: 1
D012541    Scarlet Fever: 1
D012529    Saudi Arabia: 1
D012494    Sampling Studies: 1
D012485    Salmonella typhi: 1
D012482    Salmonella paratyphi A: 1
D012475    Salmonella: 1
D012471    Salivary Proteins and Peptides: 1
D012469    Salivary Glands: 1
D012456    Salaries and Fringe Benefits: 1
D012441    Saccharomyces cerevisiae: 1
D012426    Russia: 1
D012409    Rubella: 1
D012401    Rotavirus: 1
D012376    Rodent Diseases: 1
D012336    RNA, Ribosomal, 16S: 1
D012329    RNA, Bacterial: 1
D012328    RNA Viruses: 1
D012293    Rifampin: 1
D012281    Rickettsia: 1
D012134    Respiratory Protective Devices: 1
D012098    Reproduction: 1
D011897    Random Allocation: 1
D011820    Rabies virus: 1
D011817    Rabbits: 1
D011790    Quarantine: 1
D011787    Quality of Health Care: 1
D011786    Quality Control: 1
D011647    Puerto Rico: 1
D011640    Public Policy: 1
D011639    Public Opinion: 1
D011635    Public Health Administration: 1
D011558    Herpesvirus 1, Suid: 1
D011557    Pseudorabies: 1
D011358    Product Surveillance, Postmarketing: 1
D011323    Primates: 1
D011314    Preventive Health Services: 1
D011295    Prenatal Care: 1
D011251    Pregnancy Complications, Infectious: 1
D011158    Population Growth: 1
D011155    Population Control: 1
D011114    Polynesia: 1
D010957    Plasmids: 1
D010930    Plague: 1
D010820    Physicians: 1
D010679    Philippines: 1
D010594    Pharmacies: 1
D010572    Pest Control, Biological: 1
D010465    Perception: 1
D010406    Penicillins: 1
D010349    Patient Compliance: 1
D010322    Parvoviridae Infections: 1
D010290    Parents: 1
D010284    Paratyphoid Fever: 1
D010272    Parasitic Diseases: 1
D010154    Pakistan: 1
D010140    Pacific Ocean: 1
D010067    Ownership: 1
D010063    Ovum: 1
D009936    Organizational Innovation: 1
D009876    Operon: 1
D009862    Online Systems: 1
D009819    Office Visits: 1
D009792    Oceans and Seas: 1
D009749    Nutrition Surveys: 1
D009735    Nursing Homes: 1
D009656    North America: 1
D009626    Terminology as Topic: 1
D009549    Nigeria: 1
D009527    Nicaragua: 1
D009518    New York: 1
D009511    New England: 1
D009390    Nepal: 1
D009345    Neisseria meningitidis: 1
D009343    Neisseria: 1
D009305    Nasopharynx: 1
D009297    Nasal Mucosa: 1
D009276    Namibia: 1
D009163    Mycobacterium bovis: 1
D009080    Mucocutaneous Lymph Node Syndrome: 1
D009043    Motor Activity: 1
D009030    Mosaicism: 1
D008967    Molecular Biology: 1
D008958    Models, Molecular: 1
D008910    Minnesota: 1
D008889    Military Personnel: 1
D008877    Middle East: 1
D008827    Microbiological Phenomena: 1
D008824    Michigan: 1
D008815    Mice, Inbred Strains: 1
D008810    Mice, Inbred C57BL: 1
D008809    Mice, Inbred C3H: 1
D008808    Mice, Inbred CBA: 1
D008660    Metabolism: 1
D008589    Meningococcal Infections: 1
D008565    Membrane Proteins: 1
D008507    Medically Underserved Area: 1
D008490    Medical Informatics: 1
D008485    Medical Audit: 1
D008459    Measles virus: 1
D008399    Mass Behavior: 1
D008322    Mammals: 1
D008264    Macrophages: 1
D008256    Macau: 1
D008252    Macaca fascicularis: 1
D008213    Lymphocyte Activation: 1
D008134    Long-Term Care: 1
D008131    London: 1
D008018    Life Cycle Stages: 1
D007918    Leprosy: 1
D007858    Learning: 1
D007857    Leadership: 1
D007814    Larva: 1
D007783    Lactones: 1
D007604    Juvenile Delinquency: 1
D007564    Japan: 1
D007558    Italy: 1
D007557    Israel: 1
D007527    Isoenzymes: 1
D007455    Iodine: 1
D007407    Interviews as Topic: 1
D007373    Interinstitutional Relations: 1
D007371    Interferon-gamma: 1
D007343    Insurance Carriers: 1
D007326    Institutionalization: 1
D007300    Insect Control: 1
D007297    Inpatients: 1
D007234    Infant, Premature: 1
D007214    Indonesia: 1
D007182    Income: 1
D007165    Immunosuppression: 1
D007159    Immunologic Tests: 1
D007155    Immunologic Factors: 1
D007143    Immunoglobulin Heavy Chains: 1
D007118    Immunoassay: 1
D007117    Immunization, Secondary: 1
D007112    Immunity, Maternally-Acquired: 1
D007107    Immune System: 1
D007055    Iceland: 1
D006984    Hypertrophy: 1
D006805    Human Experimentation: 1
D006784    Hospitals, Teaching: 1
D006766    Hospitals, County: 1
D006725    Hookworm Infections: 1
D006655    Histone Deacetylases: 1
D006630    Hispanic Americans: 1
D006570    Heterochromatin: 1
D006463    Hemolytic-Uremic Syndrome: 1
D006333    Heart Failure: 1
D006328    Cardiac Catheterization: 1
D006305    Health Status Indicators: 1
D006293    Health Promotion: 1
D006279    Health Maintenance Organizations: 1
D006278    Medicare: 1
D006268    Health Facilities: 1
D006266    Health Education: 1
D006262    Health: 1
D006239    Haplotypes: 1
D006233    Disabled Persons: 1
D006225    Hand: 1
D006192    Haemophilus Infections: 1
D006090    Gram-Negative Bacteria: 1
D006071    Gorilla gorilla: 1
D005869    Ghana: 1
D005846    Georgia (Republic): 1
D005814    Genes, Viral: 1
D005791    Patient Care: 1
D005783    Gender Identity: 1
D005767    Gastrointestinal Diseases: 1
D005523    Food Supply: 1
D005449    Fluorenes: 1
D005431    Florida: 1
D005426    Flight, Animal: 1
D005334    Fever: 1
D005289    Ferrets: 1
D005263    Femoral Artery: 1
D005240    Feasibility Studies: 1
D005189    False Positive Reactions: 1
D005107    Explosions: 1
D005069    Evaluation Studies as Topic: 1
D004983    Ethanolamines: 1
D004924    Escape Reaction: 1
D004843    Epistasis, Genetic: 1
D004798    Enzymes: 1
D004791    Enzyme Inhibitors: 1
D004772    Entomology: 1
D004769    Enterovirus Infections: 1
D004761    Enterocolitis, Pseudomembranous: 1
D004739    England: 1
D004651    Employment: 1
D004636    Emergency Service, Hospital: 1
D004632    Emergency Medical Services: 1
D004608    Eligibility Determination: 1
D004403    Dysentery: 1
D004363    Drug Utilization: 1
D004343    Drug Implants: 1
D004338    Drug Combinations: 1
D004311    Double-Blind Method: 1
D004305    Dose-Response Relationship, Drug: 1
D004270    DNA, Circular: 1
D004185    Disability Evaluation: 1
D004175    Diptera: 1
D004058    Diffusion: 1
D003936    Diagnosis, Computer-Assisted: 1
D003718    Denmark: 1
D003681    Dehydration: 1
D003658    Decision Making, Computer-Assisted: 1
D003643    Death: 1
D003628    Database Management Systems: 1
D003621    Daphnia: 1
D003458    Cryptosporidium: 1
D003418    Criminology: 1
D003415    Crime: 1
D003371    Cough: 1
D003363    Cost Control: 1
D003299    Cooperative Behavior: 1
D003271    Contraceptive Agents, Female: 1
D003268    Contraception Behavior: 1
D003266    Continuity of Patient Care: 1
D003264    Containment of Biohazards: 1
D003256    Consumer Participation: 1
D003247    Conservation of Natural Resources: 1
D003237    Connecticut: 1
D003196    Computer Graphics: 1
D003191    Comprehensive Health Care: 1
D003153    Community Health Services: 1
D003144    Communication Barriers: 1
D003142    Communication: 1
D003139    Common Cold: 1
D003106    Colon: 1
D003105    Colombia: 1
D003071    Cognition: 1
D002981    Clindamycin: 1
D002965    Classification: 1
D002959    Civil Defense: 1
D002876    Chromosomes, Bacterial: 1
D002685    Chiroptera: 1
D002679    Pan troglodytes: 1
D002652    Child Behavior: 1
D002645    Chickens: 1
D002644    Chickenpox: 1
D002641    Chicago: 1
D002598    Chagas Cardiomyopathy: 1
D002511    Cephalosporins: 1
D002478    Cells, Cultured: 1
D002471    Cell Transformation, Neoplastic: 1
D002460    Cell Line: 1
D002455    Cell Division: 1
D002454    Cell Differentiation: 1
D002418    Cattle Diseases: 1
D002245    Carbon Dioxide: 1
D002213    Capsid: 1
D002170    Canada: 1
D002020    Buffaloes: 1
D001900    Boston: 1
D001898    Borrelia: 1
D001886    Bordetella pertussis: 1
D001803    Blood Transfusion: 1
D001733    Bites and Stings: 1
D001690    Biological Science Disciplines: 1
D001618    beta-Lactamases: 1
D001500    BCG Vaccine: 1
D001494    Baths: 1
D001484    Baseball: 1
D001458    Bandages: 1
D001404    Babesiosis: 1
D001403    Babesia: 1
D001402    B-Lymphocytes: 1
D001359    Aviation: 1
D001315    Australia: 1
D001294    Attitude to Health: 1
D001249    Asthma: 1
D001208    Asia: 1
D001105    Archaea: 1
D001102    Arbovirus Infections: 1
D001096    Arachnid Vectors: 1
D001070    Appetitive Behavior: 1
D001007    Anxiety: 1
D000970    Antineoplastic Agents: 1
D000939    Epitopes: 1
D000930    Antidiarrheals: 1
D000916    Antibody Diversity: 1
D000907    Antibodies, Bacterial: 1
D000906    Antibodies: 1
D000904    Antibiotics, Antitubercular: 1
D000881    Anthrax: 1
D000810    Angola: 1
D000711    Anaplasmataceae Infections: 1
D000710    Anaplasmataceae: 1
D000617    Aminoglycosides: 1
D000601    Amino Acids, Essential: 1
D000596    Amino Acids: 1
D000569    Americas: 1
D000483    Alleles: 1
D000413    Alaska: 1
D000401    Aircraft: 1
D000357    African Swine Fever: 1
D000350    Africa, Central: 1
D000336    Aerosols: 1
D000223    Adaptation, Psychological: 1
D000210    Acute-Phase Reaction: 1
D000163    Acquired Immunodeficiency Syndrome: 1
D000069455    Palivizumab: 1
D000069216    Contraceptive Prevalence Surveys: 1
D000066949    Biobehavioral Sciences: 1
D000034    Abortion, Veterinary: 1
